"variant","outcome","spec","N1","att","se","B","seed"
"drop3","employed_y","triple",32,1.96910026291271,0.913882611347406,500,56704
"drop3","full_time_y","triple",32,-1.46783776595127,1.27503366995897,500,56705
"drop3","part_time_y","triple",32,3.35293797047275,1.06048900636901,500,56706
"drop4","employed_y","triple",31,1.78635425900291,0.921614461446436,500,56707
"drop4","full_time_y","triple",31,-1.17789334898511,1.36305864579693,500,56708
"drop4","part_time_y","triple",31,2.89537522484503,1.01697180576028,500,56709
