"outcome","model","term","est","se","p","n"
"full_time_y_diff","bite","post_bite",0.436086125182413,0.728811221839581,0.553570164241153,280
"full_time_y_diff","exp","post_exp",-0.581705493542283,1.05736304257286,0.585814699143955,280
"full_time_y_diff","horse","post_bite",1.04729335320663,0.960493856980044,0.283217874980158,280
"full_time_y_diff","horse","post_exp",-1.1480101898754,1.3226266441243,0.391492003724628,280
"full_time_y_diff","kaitz","post_kaitz",0.803658724497246,0.812876348884547,0.329813319535786,280
"full_time_y_diff","kaitz","post_exp",-0.967962343019983,1.27310217368765,0.452305147123348,280
"part_time_y_diff","bite","post_bite",-0.14183827574689,0.642937373022071,0.826715699029747,280
"part_time_y_diff","exp","post_exp",0.978151514529974,0.615899525730172,0.121505887076218,280
"part_time_y_diff","horse","post_bite",-0.93048899595278,0.6611899555042,0.168416729294134,280
"part_time_y_diff","horse","post_exp",1.48129639431074,0.738178012719931,0.0527876293809212,280
"part_time_y_diff","kaitz","post_kaitz",-1.00889686070129,0.608474882670259,0.106501866989023,280
"part_time_y_diff","kaitz","post_exp",1.46305052823285,0.735213294789032,0.0546849275446006,280
"employed_y_diff","bite","post_bite",0.294247849435525,0.636384547342889,0.646758374589679,280
"employed_y_diff","exp","post_exp",0.396446020987693,0.784051100979761,0.616373384368826,280
"employed_y_diff","horse","post_bite",0.11680435725385,0.758239165333736,0.878483550856186,280
"employed_y_diff","horse","post_exp",0.333286204435344,0.946577221892119,0.726939244879674,280
"employed_y_diff","kaitz","post_kaitz",-0.205238136204048,0.664367497245417,0.75926551457181,280
"employed_y_diff","kaitz","post_exp",0.495088185212867,0.880427779673549,0.577582310161287,280
"full_time_y","bite","post_bite",0.0790359061939888,0.546614721907259,0.885887026050367,280
"full_time_y","exp","post_exp",-0.299797902680653,0.59929154317923,0.620119042995927,280
"full_time_y","horse","post_bite",0.335130224277239,0.63515784473381,0.601180732032747,280
"full_time_y","horse","post_exp",-0.481013432513129,0.711100734353147,0.503340544324394,280
"full_time_y","kaitz","post_kaitz",0.49848731844548,0.627225976158551,0.43227238559382,280
"full_time_y","kaitz","post_exp",-0.539382362175932,0.691129008391644,0.440533807291757,280
