"sample","contrs","spec_d","spec_u","spec_m","hetero","design","ft_pt_cf","numerator","denom1","denom2","denom3","denom4","mvpf_1","mvpf_2","mvpf_3","mvpf_4"
0,0,0,0,0,0,0,1,621.159325402022,760.587008713685,609.493060843702,734.824335912052,734.82442007877,0.816684111463506,1.01914093089455,0.845316758094367,0.845316661271867
0,0,0,0,0,0,0,2,620.927464801289,760.587008713685,776.012264867683,996.974858785336,996.974942952055,0.816379267181292,0.800151612174793,0.622811557713497,0.622811505134438
0,0,0,0,0,0,0,3,620.927464801289,760.587008713685,886.65112732009,1161.36317338456,1161.36325755128,0.816379267181292,0.70030640650968,0.534653998879368,0.534653960131739
0,0,0,0,0,1,0,1,621.152334962617,760.587008713685,631.449682540181,743.725330488334,743.725417851953,0.816674920615747,0.983692528696603,0.835190505821236,0.835190407713435
0,0,0,0,0,1,0,2,621.010942296923,760.587008713685,789.341729707159,992.494604999997,992.494692363616,0.816489021219525,0.786745358727347,0.625707121397325,0.625707066319913
0,0,0,0,0,1,0,3,621.010942296923,760.587008713685,893.117855826123,1146.67026563339,1146.67035299701,0.816489021219525,0.695329220265668,0.541577610328887,0.541577569066654
0,0,0,0,0,2,0,1,619.86319556929,760.587008713685,635.494675534315,745.681986540789,745.682035518036,0.814979993699354,0.975402657855657,0.831270175165191,0.831270120566418
0,0,0,0,0,2,0,2,619.648220045747,760.587008713685,797.830962440177,996.458165727429,996.458214704675,0.814697349477088,0.776666047342339,0.621850712210677,0.621850681645888
0,0,0,0,0,2,0,3,619.648220045747,760.587008713685,901.380910929,1149.75247623768,1149.75252521493,0.814697349477088,0.687443246836803,0.5389405396833,0.538940516725469
0,0,0,0,1,0,0,1,624.466039707783,760.587008713685,562.99359427249,712.753620108993,712.753702299692,0.8210316933547,1.10918853440016,0.876131698373263,0.876131597342742
0,0,0,0,1,0,0,2,624.206312683019,760.587008713685,749.526093931572,1006.41099497518,1006.41107716588,0.820690211023569,0.83280130970331,0.620230021134074,0.620229970481671
0,0,0,0,1,0,0,3,624.206312683019,760.587008713685,873.46221105181,1190.55650189534,1190.55658408604,0.820690211023569,0.714634594130133,0.524297932680472,0.524297896485289
0,0,0,0,1,1,0,1,627.802652821273,760.587008713685,584.002958526783,720.738895258851,720.738979552051,0.825418585419992,1.07499909658845,0.87105421526585,0.871054113392703
0,0,0,0,1,1,0,2,627.591195626732,760.587008713685,758.984180415691,996.29788682968,996.297971122881,0.825140567005112,0.826883104840215,0.629923242760045,0.629923189464497
0,0,0,0,1,1,0,3,627.591195626732,760.587008713685,874.762726417212,1168.31621071829,1168.31629501149,0.825140567005112,0.71744162922576,0.537175800411848,0.537175761654991
0,0,0,0,1,2,0,1,633.284243758042,760.587008713685,618.477310450959,741.832962854008,741.832976266969,0.832625638490803,1.02394094828845,0.853674985432902,0.853674969997743
0,0,0,0,1,2,0,2,633.06879793247,760.587008713685,787.083765266227,1003.4323270654,1003.43234047836,0.832342375927673,0.804322012306197,0.630903331352616,0.63090332291928
0,0,0,0,1,2,0,3,633.06879793247,760.587008713685,895.325312468841,1163.91173048711,1163.91174390008,0.832342375927673,0.707082430392587,0.543914784386202,0.543914778118108
0,0,0,1,0,0,0,1,625.537138865951,760.587008713685,595.413565611757,727.108337110251,727.108418641822,0.822439946645772,1.05059268883678,0.860308026933132,0.860307930465723
0,0,0,1,0,0,0,2,625.300017999449,760.587008713685,765.710622647189,995.206319005425,995.206400536997,0.822128186303057,0.816627064461615,0.628311945028999,0.628311893554993
0,0,0,1,0,0,0,3,625.300017999449,760.587008713685,878.859570120416,1163.32414272041,1163.32422425198,0.822128186303057,0.711490253117201,0.537511425265531,0.537511387594046
0,0,0,1,0,1,0,1,626.372279602449,760.587008713685,626.390277642743,739.674393724931,739.674478328095,0.823537967946334,0.999971267050374,0.846821635190177,0.846821538331639
0,0,0,1,0,1,0,2,626.228007606696,760.587008713685,783.172673518138,986.713903318571,986.713987921734,0.823348282881904,0.799604006602502,0.634660163904179,0.634660109486933
0,0,0,1,0,1,0,3,626.228007606696,760.587008713685,886.156708371406,1139.71326867432,1139.71335327748,0.823348282881904,0.706678628837092,0.549461013413582,0.54946097262601
0,0,0,1,0,2,0,1,629.542494578129,760.587008713685,624.712228281458,751.691799163777,751.691834331623,0.827706084071591,1.00773198614978,0.837500815199084,0.837500776016671
0,0,0,1,0,2,0,2,629.326774537134,760.587008713685,797.625309294667,1019.89539788525,1019.8954330531,0.82742246097716,0.789000508388634,0.617050313043906,0.617050291766891
0,0,0,1,0,2,0,3,629.326774537134,760.587008713685,908.401834828684,1184.17291489158,1184.17295005943,0.82742246097716,0.692784570008953,0.531448377701453,0.531448361918375
0,0,0,1,1,0,0,1,627.523412012864,760.587008713685,567.43168075829,713.827991520291,713.82807186493,0.825051446874093,1.10590126228812,0.879096112042878,0.879096013096559
