"sample","contrs","spec_d","spec_u","spec_m","hetero","design","ft_pt_cf","numerator","denom1","denom2","denom3","denom4","mvpf_1","mvpf_2","mvpf_3","mvpf_4","eff_fed_liab","eff_st_liab","eff_pay_liab","eff_fedeitc","eff_ctc","eff_caleitc","eff_st_nocal_liab","direct_real"
0,0,0,0,0,0,0,1,621.159325402022,760.587008713685,609.493060843702,734.824335912052,734.82442007877,0.816684111463506,1.01914093089455,0.845316758094367,0.845316661271867,151.093947869983,-139.427767478381,-125.33127506835,-93.1184043742067,-67.0609709676238,139.427683311663,-8.41667184749068e-05,760.587008713685
0,0,0,0,0,0,0,2,620.927464801289,760.587008713685,776.012264867683,996.974858785336,996.974942952055,0.816379267181292,0.800151612174793,0.622811557713497,0.622811505134438,-15.4252561539977,-139.659628079115,-220.962593917653,22.8942315341716,-71.4251897974986,139.659543912396,-8.41667184749068e-05,760.587008713685
0,0,0,0,0,0,0,3,620.927464801289,760.587008713685,886.65112732009,1161.36317338456,1161.36325755128,0.816379267181292,0.70030640650968,0.534653998879368,0.534653960131739,-126.064118606405,-139.659628079115,-274.712046064472,88.1635026444282,-71.4251897974986,139.659543912396,-8.41667184749068e-05,760.587008713685
0,0,0,0,0,1,0,1,621.152334962617,760.587008713685,631.449682540181,743.725330488334,743.725417851953,0.816674920615747,0.983692528696603,0.835190505821236,0.835190407713435,129.137326173505,-139.434761114687,-112.275647948153,-77.2609131590128,-60.1036323707144,139.434673751068,-8.73636194005926e-05,760.587008713685
0,0,0,0,0,1,0,2,621.010942296923,760.587008713685,789.341729707159,992.494604999997,992.494692363616,0.816489021219525,0.786745358727347,0.625707121397325,0.625707066319913,-28.7547209934738,-139.576153780381,-203.152875292838,32.8197491437295,-64.3493207148573,139.576066416762,-8.73636194005926e-05,760.587008713685
0,0,0,0,0,1,0,3,621.010942296923,760.587008713685,893.117855826123,1146.67026563339,1146.67035299701,0.816489021219525,0.695329220265668,0.541577610328887,0.541577569066654,-132.530847112437,-139.576153780381,-253.55240980727,93.9165112119864,-64.3493207148573,139.576066416762,-8.73636194005926e-05,760.587008713685
0,0,0,0,0,2,0,1,619.86319556929,760.587008713685,635.494675534315,745.681986540789,745.682035518036,0.814979993699354,0.975402657855657,0.831270175165191,0.831270120566418,125.09233317937,-140.723862121642,-110.187311006474,-74.9489041330929,-57.4621926946829,140.723813144396,-4.89772465088174e-05,760.587008713685
0,0,0,0,0,2,0,2,619.648220045747,760.587008713685,797.830962440177,996.458165727429,996.458214704675,0.814697349477088,0.776666047342339,0.621850712210677,0.621850681645888,-37.243953726492,-140.938837645185,-198.627203287252,34.5064547494544,-58.2473805588306,140.938788667939,-4.89772465088174e-05,760.587008713685
0,0,0,0,0,2,0,3,619.648220045747,760.587008713685,901.380910929,1149.75247623768,1149.75252521493,0.814697349477088,0.687443246836803,0.5389405396833,0.538940516725469,-140.793902215315,-140.938837645185,-248.371565308682,96.1270137804505,-58.2473805588306,140.938788667939,-4.89772465088174e-05,760.587008713685
0,0,0,0,1,0,0,1,624.466039707783,760.587008713685,562.99359427249,712.753620108993,712.753702299692,0.8210316933547,1.10918853440016,0.876131698373263,0.876131597342742,197.593414441195,-136.121051196602,-149.760025836502,-127.992479297962,-79.7782185227764,136.120969005902,-8.21906998022644e-05,760.587008713685
