"state_fips","bin","s0_0","s0_1","s1_0","s1_1","D"
6,0,14.8687378195575,14.3165160716018,13.330971827164,11.3870197491585,-1.39173033004987
6,6000,16.620920063543,13.0977664084964,14.4880930062866,12.6570103418208,1.6920709905808
6,12000,16.1449479482266,14.1946950084166,16.4129900356904,16.3322790447646,1.86954194888419
6,18000,13.898615046156,12.8943206127091,15.1253964829054,14.0517809871766,-0.0693210622818938
6,24000,11.9517640829116,13.1220998193475,12.075920570521,12.5544203548535,-0.691835952103398
6,30000,8.36573262802771,10.4686799740649,11.9133101528427,13.0553376484156,-0.960919850464265
6,36000,7.14056435367911,8.50190894068038,6.77021247997057,8.4287089444717,0.297151877499862
6,42000,4.97125824994677,6.17837622225337,4.11533717406541,4.86743779749534,-0.455017348876663
6,48000,4.18532287384746,4.8698393532857,4.02746286817894,4.38730415704316,-0.324675190574021
6,54000,1.85213693410415,2.35579758914422,1.74030540237488,2.27870097480021,0.0347349173852598
