"state_fips","T","n","n_eff","T_scaled","is_ca"
1,-2.89146881493245,8351,4644.77818264361,-197.061145046395,0
4,-1.21271311697619,11087,6996.81222936831,-101.439753351794,0
5,-6.0177928808956,5067,2881.48921643778,-323.032140762843,0
6,3.56161293946499,50456,34273.1516874672,659.36173811142,1
10,-0.202975619299179,1516,920.011387036273,-6.15659345768127,0
12,-0.888441966155117,29965,18857.8458158877,-122.004290822942,0
13,2.90320062208757,16941,10264.1663314019,294.129706004602,0
16,-0.761440724425855,2339,1221.60044687927,-26.6134202607107,0
18,-2.23902766198221,12033,6922.70189440913,-186.293316483576,0
21,-1.62768779649514,7026,4210.0203234153,-105.611984565363,0
28,0.695130670812976,5679,3354.87910693488,40.2628848041963,0
29,0.340559952935919,10312,5756.36208106301,25.8385196928717,0
31,0.18044210398582,2580,1409.9589420558,6.77549634757303,0
32,1.60884554421351,5443,3583.67305402885,96.311587781588,0
33,-0.70283069825461,1819,1102.88433768269,-23.3407983709162,0
36,1.29189293176539,25918,16450.4369223463,165.697227129512,0
37,0.978624588975746,15348,9370.19731228566,94.7306444313725,0
38,5.0879886640546,1004,458.516180627284,108.949055122356,0
40,0.136069079676949,6766,3698.31865612695,8.27487822913958,0
42,1.67956234720294,19741,11174.6726242043,177.547080091837,0
46,1.43002966440901,1328,619.033010826469,35.5796728944248,0
47,-3.40124086874395,11677,7376.14401638384,-292.113805574928,0
48,0.540177983903034,42590,26781.8737648945,88.4010368721077,0
49,6.13293411166206,3894,2448.93357213336,303.498676405387,0
51,0.264459411374022,11452,7298.50680387273,22.5931109768776,0
53,-3.63461728904939,10232,6266.15529432664,-287.712853951358,0
54,2.24384323813013,2898,1745.25986317666,93.7394849594021,0
56,-1.78068660325459,895,531.307223015761,-41.0450086386887,0
