"state_fips","T","is_ca"
1,-2.89146881493245,0
4,-1.21271311697619,0
5,-6.0177928808956,0
6,3.56161293946499,1
10,-0.202975619299179,0
12,-0.888441966155117,0
13,2.90320062208757,0
16,-0.761440724425855,0
18,-2.23902766198221,0
21,-1.62768779649514,0
28,0.695130670812976,0
29,0.340559952935919,0
31,0.18044210398582,0
32,1.60884554421351,0
33,-0.70283069825461,0
36,1.29189293176539,0
37,0.978624588975746,0
38,5.0879886640546,0
40,0.136069079676949,0
42,1.67956234720294,0
46,1.43002966440901,0
47,-3.40124086874395,0
48,0.540177983903034,0
49,6.13293411166206,0
51,0.264459411374022,0
53,-3.63461728904939,0
54,2.24384323813013,0
56,-1.78068660325459,0
