"depx","diff_ft_2017","diff_ft_2014","diff_med_2017","diff_med_2014","diff_mean_2017","diff_mean_2014","log_denom_ft","log_denom_med","log_denom_mean","log_numer","e_mob_ft","e_mob_med","e_mob_mean","share"
0,13706.66,14002.33,19535.97,19804.28,23290.84,23518.78,-0.0213418982416318,-0.0136406942164609,-0.00973910070940498,0.168757354033609,-7.90732633634309,-12.3716103708242,-17.3278169174944,NA
1,13952.5,15543.28,19119.4,20684.2,22219.84,23777.4,-0.107969687198358,-0.0786665974191081,-0.0677499662434649,0.168757354033609,-1.56300678841067,-2.14522249048766,-2.49088469545751,0.454317633942519
2,13191.97,15800.04,17906.74,20528.41,20917.18,23491.35,-0.180404160526093,-0.136632602106465,-0.116061437408472,0.168757354033609,-0.935440477323143,-1.23511776422228,-1.45403467165133,0.330961597279547
3,14085.21,17051.77,19343.95,22260.14,22432.54,25348.73,-0.191128699962757,-0.140417926047512,-0.122216046847241,0.168757354033609,-0.882951404297173,-1.2018220093673,-1.38081175415976,0.214720768777934
