design,adults,outcome,yr,b,se,lo,hi
quad,1,part_time_y,2012,1.990576872455745,1.2957039,-.54900271,4.5301566
quad,1,part_time_y,2013,2.733637965593608,1.3434626,.10045119,5.3668246
quad,1,part_time_y,2014,0,0,0,0
quad,1,part_time_y,2015,6.278999282634627,1.2211227,3.8855989,8.6723995
quad,1,part_time_y,2016,6.921555508263024,1.6578212,3.672226,10.170885
quad,1,part_time_y,2017,4.6575395390225,1.3980571,1.9173477,7.3977313
quad,2,part_time_y,2012,4.598118681472122,1.4275197,1.8001802,7.3960571
quad,2,part_time_y,2013,5.296035836313847,1.6361485,2.089185,8.5028868
quad,2,part_time_y,2014,0,0,0,0
quad,2,part_time_y,2015,3.753040902873169,1.5200959,.77365279,6.732429
quad,2,part_time_y,2016,-.078413546868992,1.5224756,-3.0624659,2.9056387
quad,2,part_time_y,2017,-2.621675365112419,1.4169073,-5.3988137,.15546292
quad,3,part_time_y,2012,-5.765183897574775,2.8560972,-11.363134,-.16723333
quad,3,part_time_y,2013,-2.676934154460167,2.9876676,-8.5327625,3.178894
quad,3,part_time_y,2014,0,0,0,0
quad,3,part_time_y,2015,-3.520900708684869,2.0298867,-7.4994788,.45767725
quad,3,part_time_y,2016,2.065068393073985,2.5571752,-2.946995,7.0771317
quad,3,part_time_y,2017,-2.45744303227078,3.5900576,-9.4939556,4.5790701
quad,all,part_time_y,2012,.9966975077538068,.8792783,-.72668791,2.720083
quad,all,part_time_y,2013,2.785864185723508,1.0686539,.69130254,4.8804259
quad,all,part_time_y,2014,0,0,0,0
quad,all,part_time_y,2015,3.690367120871046,.85514331,2.0142863,5.3664479
quad,all,part_time_y,2016,3.698736341291644,1.0423095,1.6558096,5.741663
quad,all,part_time_y,2017,1.740074945919172,1.0138841,-.24713784,3.7272878
triple,1,full_time_y,2012,.4970536127589696,1.7042024,-2.843183,3.8372903
triple,1,full_time_y,2013,1.564785589610422,1.2136855,-.81403804,3.9436092
triple,1,full_time_y,2014,0,0,0,0
triple,1,full_time_y,2015,-1.306695393900908,1.4958842,-4.2386284,1.6252375
triple,1,full_time_y,2016,.4314001172157396,1.9118316,-3.3157899,4.1785898
triple,1,full_time_y,2017,3.746109199117583,2.0984972,-.366945,7.8591633
triple,2,full_time_y,2012,-1.818118417397488,.99816048,-3.774513,.13827617
triple,2,full_time_y,2013,-1.381155199912225,.8938393,-3.1330802,.37076977
triple,2,full_time_y,2014,0,0,0,0
triple,2,full_time_y,2015,-2.270883831545715,1.5490264,-5.3069754,.76520789
triple,2,full_time_y,2016,-4.394105302718311,1.8550079,-8.0299206,-.75828987
triple,2,full_time_y,2017,.011762172838959,2.2297623,-4.358572,4.3820963
triple,3,full_time_y,2012,4.549794547889642,2.0444443,.54268354,8.5569057
triple,3,full_time_y,2013,-.1291660023990266,1.7191404,-3.4986811,3.2403491
triple,3,full_time_y,2014,0,0,0,0
triple,3,full_time_y,2015,-5.016388359984982,1.2073736,-7.3828406,-2.6499362
triple,3,full_time_y,2016,-8.749133132103049,1.4018874,-11.496833,-6.0014338
triple,3,full_time_y,2017,-7.568449471958416,.94429064,-9.4192591,-5.7176399
triple,all,full_time_y,2012,.5904707927983261,.64455575,-.67285842,1.8538001
triple,all,full_time_y,2013,-.3394638535150932,.58211148,-1.4804024,.80147469
triple,all,full_time_y,2014,0,0,0,0
triple,all,full_time_y,2015,-3.42760853655591,.75002271,-4.8976531,-1.9575641
triple,all,full_time_y,2016,-5.064833700562122,.97868401,-6.9830542,-3.1466131
triple,all,full_time_y,2017,-2.894424278378574,.87486625,-4.6091623,-1.1796864
triple,1,part_time_y,2012,.7162332256500771,1.1508534,-1.5394396,2.9719059
triple,1,part_time_y,2013,.9663530498710566,1.226164,-1.4369283,3.3696344
triple,1,part_time_y,2014,0,0,0,0
triple,1,part_time_y,2015,3.814753460234558,1.1624614,1.5363292,6.0931778
triple,1,part_time_y,2016,3.43899468339157,1.4864149,.52562153,6.3523679
triple,1,part_time_y,2017,2.266739159601766,1.280128,-.24231181,4.7757902
triple,2,part_time_y,2012,.0853177161108884,.98520964,-1.8456932,2.0163286
triple,2,part_time_y,2013,.5467390072747603,.74835145,-.92002982,2.0135078
triple,2,part_time_y,2014,0,0,0,0
triple,2,part_time_y,2015,3.261345176860902,.80933619,1.6750463,4.8476439
triple,2,part_time_y,2016,3.616480998117696,1.5345305,.60880113,6.6241608
triple,2,part_time_y,2017,.4174770927763803,1.8828818,-3.2729712,4.1079254
triple,3,part_time_y,2012,-.7300682470918186,1.1701567,-3.0235755,1.563439
triple,3,part_time_y,2013,1.130597953902494,1.0729524,-.97238868,3.2335846
triple,3,part_time_y,2014,0,0,0,0
triple,3,part_time_y,2015,4.813631792659306,1.1657906,2.5286825,7.0985813
triple,3,part_time_y,2016,5.935318305156198,1.4902757,3.0143778,8.8562584
triple,3,part_time_y,2017,4.957420953418588,1.2433819,2.5203927,7.3944492
triple,all,part_time_y,2012,-.1327373095318539,.68511927,-1.475571,1.2100965
triple,all,part_time_y,2013,.791236850456237,.58177412,-.34904036,1.931514
triple,all,part_time_y,2014,0,0,0,0
triple,all,part_time_y,2015,3.922059001828778,.66811597,2.6125517,5.2315664
triple,all,part_time_y,2016,4.335800208185984,.82681835,2.7152362,5.9563642
triple,all,part_time_y,2017,3.498891639328959,.84830654,1.8362108,5.1615725
