"outcome","spec","relative_time","year","estimate","se","ci_lower","ci_upper","att","B","seed"
"part_time_y","basic_cov",-5,2010,-0.476531288444541,0.355507167739434,-1.17331253345967,0.22024995657059,2.52653424367832,500,56613
"part_time_y","basic_cov",-4,2011,0.471020479647384,0.342228972763289,-0.199735981434801,1.14177694072957,2.52653424367832,500,56613
"part_time_y","basic_cov",-3,2012,0.240279865524953,0.360264563592614,-0.46582570402261,0.946385435072517,2.52653424367832,500,56613
"part_time_y","basic_cov",-2,2013,-0.189988664375369,0.291725832586651,-0.761760789605165,0.381783460854428,2.52653424367832,500,56613
"part_time_y","basic_cov",-1,2014,-0.269170167752928,0.31295384497921,-0.88254843273551,0.344208097229654,2.52653424367832,500,56613
"part_time_y","basic_cov",0,2015,3.54692394838914,1.35519622787668,0.890788149766314,6.20305974701197,2.52653424367832,500,56613
"part_time_y","basic_cov",1,2016,1.9662997048648,1.82303573799116,-1.60678468412728,5.53938409385688,2.52653424367832,500,56613
"part_time_y","basic_cov",2,2017,2.06637907778102,1.92708968982796,-1.71064730926024,5.84340546482228,2.52653424367832,500,56613
"part_time_y","triple",-5,2010,-0.454997602243748,0.320384391315714,-1.08293947043133,0.172944265943838,3.49477278146395,500,56614
"part_time_y","triple",-4,2011,0.258460972282749,0.448883542858093,-0.621334604971854,1.13825654953735,3.49477278146395,500,56614
"part_time_y","triple",-3,2012,0.0524273129970503,0.38672146955838,-0.705532839385778,0.810387465379879,3.49477278146395,500,56614
"part_time_y","triple",-2,2013,0.35242700052237,0.372160931051508,-0.376995020791479,1.08184902183622,3.49477278146395,500,56614
"part_time_y","triple",-1,2014,0.033475437198466,0.340931289388328,-0.634737611205459,0.701688485602391,3.49477278146395,500,56614
"part_time_y","triple",0,2015,3.91891433734648,1.49560019474576,0.987591820373691,6.85023685431926,3.49477278146395,500,56614
"part_time_y","triple",1,2016,4.42410143604858,1.39506037139771,1.68983335184999,7.15836952024716,3.49477278146395,500,56614
"part_time_y","triple",2,2017,2.14130257099679,1.47109762399878,-0.741995789783268,5.02460093177684,3.49477278146395,500,56614
"part_time_y","triple_cov",-5,2010,-0.383836145874999,0.344011064512718,-1.05808544260321,0.290413150853214,3.77329850684006,500,56615
"part_time_y","triple_cov",-4,2011,0.313039400940277,0.43492368468472,-0.539395357065228,1.16547415894578,3.77329850684006,500,56615
"part_time_y","triple_cov",-3,2012,0.0422381471623985,0.394237699748298,-0.73045354569218,0.814929840016977,3.77329850684006,500,56615
"part_time_y","triple_cov",-2,2013,0.252663884193201,0.361782746779421,-0.456417269722438,0.961745038108841,3.77329850684006,500,56615
"part_time_y","triple_cov",-1,2014,-0.0140138330100852,0.383890225527493,-0.766424849060931,0.738397183040761,3.77329850684006,500,56615
"part_time_y","triple_cov",0,2015,3.83647367307691,1.81938070666496,0.270553013846559,7.40239433230727,3.77329850684006,500,56615
"part_time_y","triple_cov",1,2016,4.80928925398252,2.49711760360965,-0.0849713142533615,9.70354982221841,3.77329850684006,500,56615
"part_time_y","triple_cov",2,2017,2.67413259346075,2.73739197420632,-2.69105708755264,8.03932227447414,3.77329850684006,500,56615
