"outcome","spec","att","pre_rmspe","p_ri_raw","p_ri_rmspe","placebo_sd","placebo_mean","n_placebo","n_donor_states"
"part_time_y","basic_cov",2.52653424367832,0.350777720697832,0.25,0.392857142857143,2.23569810896936,0.407369628678102,27,27
"part_time_y","triple",3.49477278146395,0.283513283985713,0.178571428571429,0.142857142857143,2.16650610489167,0.0787910220316776,27,27
"part_time_y","triple_cov",3.77329850684006,0.249456745905242,0.142857142857143,0.142857142857143,2.48707551781246,0.41508931012056,27,27
"employed_y","basic",2.35292289794929,0.315068576064172,0.25,0.428571428571429,3.23891416405501,-0.611905245261012,27,27
"employed_y","basic_cov",-0.998028221825342,0.293555360029764,0.75,0.678571428571429,2.65462334796596,-0.00966938243281263,27,27
"employed_y","triple",0.988954898758919,0.337225754287827,0.607142857142857,0.464285714285714,2.79402280273529,-0.428234302849819,27,27
"employed_y","triple_cov",-1.36965244119099,0.359341722815103,0.464285714285714,0.5,2.72978291822872,-0.0608561459974934,27,27
"full_time_y","basic",-1.14600656022435,0.159973895700526,0.678571428571429,0.392857142857143,3.17291733742252,-0.637121676272576,27,27
"full_time_y","basic_cov",-3.66802269057569,0.189554161397421,0.214285714285714,0.0357142857142857,3.20509915521913,-0.589826214537239,27,27
"full_time_y","triple",-2.56344989426188,0.0928306695332376,0.357142857142857,0.0357142857142857,3.12267293907571,-0.417162670027589,27,27
"full_time_y","triple_cov",-5.02129650114607,0.146548979764535,0.142857142857143,0.0357142857142857,3.61851516133821,-0.426118499916371,27,27
"part_time_y","basic",3.08377832115688,0.335391538691514,0.178571428571429,0.321428571428571,2.14934592102672,-0.0577905715143129,27,27
