"outcome","term","b","p_ri","S"
"employed_y","g2",-1.5887286650399,0.607142857142857,27
"employed_y","g3",-0.875952645393865,0.678571428571429,27
"employed_y","grad",0.712776019646038,0.678571428571429,27
"full_time_y","g2",-1.58762055270353,0.75,27
"full_time_y","g3",-3.23615128998396,0.214285714285714,27
"full_time_y","grad",-1.64853073728044,0.714285714285714,27
"part_time_y","g2",-0.00110811233640296,1,27
"part_time_y","g3",2.36019864459008,0.357142857142857,27
"part_time_y","grad",2.36130675692649,0.571428571428571,27
