"outcome","beta_R","beta_F","R2_R","R2_F","delta_13","beta_adj_13","delta_2R","beta_adj_2R"
"employed_y",0.828043324672684,-0.334712093975999,0.00875305310935826,0.0742258327187321,-0.0979035831878588,-0.730173336246488,-0.326345277292863,-1.65291623487763
"full_time_y",-2.2231453392222,-4.07664436655676,0.00770412435908574,0.0668615050314646,-0.745759734071426,-4.70510897976337,-2.48586578023809,-6.17152641057882
"part_time_y",3.05118866389488,3.74193227258066,0.00313677250167343,0.0265367796092207,-1.84303053465035,3.97693362312633,-6.14343511550117,4.52527010773287
"incearn_real",-598.812759669976,-1509.4303024032,0.01125691438402,0.099025000881809,-0.561056413745516,-1817.65362105019,-1.87018804581839,-2536.84136455983
